Word                     Frequency
build                    1
build-up                 1
building                 4
built                    2
bulge                    1
bulk                     1
bumping                  1
buoyancy                 1
burial                   1
burn                     1
burrows                  2
burst                    1
business                 3
businesses               1
busy                     1
but                      65
butte                    2
butterflys               2
buy                      5
buyers                   1
buying                   2
by                       81
byproduct                1
cable                    1
cady                     2
cafeteria                1
cal                      1
calculated               1
calderon                 2
calibration              2
calif                    9
california               7
californias              1
call                     1
callas                   1
called                   13
calls                    1
caltechs                 1
cambridge                2
came                     4
camera                   4
campaign                 2
campanas                 1
campus                   2
can                      60
canada                   1
canadian                 1
cancer                   14
cancer-fighting          1
cancers                  2
candidate                1
candidates               2
cannon                   1
cannot                   2
cant                     4
capabilities             4
capable                  2
cape                     5
capture                  3
captures                 2
carbon                   10
cardiovascular           1
careful                  1
carefully                1
cargo                    6
carried                  2
carrier                  1
carriers                 3
carries                  1
carry                    2
carrying                 2
case                     8
cases                    3
cash                     1
cast                     1
catecholamine-induced    1
catecholamines           2
cause                    4
caused                   2
causes                   4
cautions                 1
cava22                   1
cbe                      1
cdma                     1
cell                     15
cells                    18
cellular                 7
celsius                  1
censorship               1
cent                     1
centauri                 1
center                   18
centered                 1
central                  3
centre                   3
century                  2
ceo                      10
certain                  3
certainly                5
certification            1
cfa                      3
chabad                   2
chain                    1
chairman                 4
chairs                   1
challenge                3
challenges               3
challenging              1
chamber                  3
chance                   3
chandra                  4
chandras                 1
change                   9
changed                  2
changes                  8
changing                 1
characteristic           3
characteristics          1
characteristics:         1
charge                   5
charged                  6
charges                  6
chart                    1
charter                  1
chat                     1
chavi                    1
cheap                    1
cheaper                  1
cheapo                   1
check                    2
checkered                2
chemical                 2
chen                     1
chew                     1
chewing                  1
chief                    1
child                    1
children                 4
chile                    1
chinook                  2
choice                   1
choices                  1
chosen                   2
chromosome               1
chronic                  4
circular                 1
circulation              1
cited                    3
citrix                   1
city                     2
citys                    1
claims                   2
clarity                  1
clark                    1
class                    2
classes                  1
classic                  1
classified               1
classroom                1
clay                     1
clean                    1
clear                    3
clearly                  1
climate                  9
climbed                  1
clinical                 4
close                    6
closely                  1
closer                   2
closest                  3
closing                  1
cloud                    2
clouds                   1
club                     1
clue                     1
clues                    2
clumps                   1
clumpy                   1
cm                       1
cmes                     1
cnet                     6
cnets                    2
co-author                4
co-founded               1
co-senior                2
co-workers               1
coast                    1
coat                     9
coating                  2
coats                    3
coauthor                 2
coauthors                1
code                     1
coding                   1
cohen                    1
cold                     1
coldest                  4
coleman                  2
colemans                 1
collaboration            3
collaborative            1
collaborator             1
collaborators            1
colleagues               7
collect                  3
collected                3
collecting               1
collections              1
collective               1
college                  4
collegiate               1
collide                  1
collision                2
collisions               2
colo                     2
colon                    2
color                    1
colorfully               1
combination              1
combined                 3
combining                1
comcast                  1
come                     6
comerford                1
comes                    3
coming                   5
commanding               1
comment                  4
commented                2
commented:               1
comments                 1
commercial               6
commission               1
commissioner             1
common                   5
commonly                 1
commonplace              1
communication            2
communications           6
community                2
communitys               1
compact                  1
companies                16
companion                1
company                  19
companys                 5
comparable               1
comparative              1
compare                  2
compared                 4
comparing                1
comparison               2
compelling               2
competition              5
competitive              1
competitors              2
complaint                2
complement               1
complete                 2
completed                2
completely               3
completes                1
complex                  4
compliance               1
complicate               1
component                2
composition              3
compositional            1
compounds                1
comprehensively          1
computationally          1
computer                 6
computers                2
computing                7
conceive                 1
conceiving               1
concentration            1
concept                  1
concepts                 1
conceptual               1
concerned                2
concerns                 3
concert                  3
conclusive               1
condense                 1
condition                1
conditions               6
conducted                3
conference               2
confident                1
confirm                  3
confirmation             1
confirmed                3
congenital               1
connect                  1
connected                2
connection               4
connections              4
connectivity             1
consecutive              1
consensual               1
consent                  1
consequences             2
considerably             1
consideration            1
considering              2
consistent               1
consistently             3
consortia                1
conspiracy               1
constantly               1
constellation            1
constructing             1
construction             1
consumed                 1
consumer                 3
consumers                8
contact                  1
contacted                2
contacting               1
container                1
containing               1
contemporary             1
context                  1
continue                 2
continued                3
continues                3
continuous               2
contraceptive            2
contraire                1
contrast                 2
contrasts                1
contribute               2
contributed              1
contribution             1
control                  2
controversial            1
conversation             1
cool                     3
cooled                   1
cooler                   3
coolest                  1
coordinating             1
coordinator              1
copps                    1
copy                     1
cores                    1
cornell                  1
coronal                  1
corp                     2
corporation              1
corporations             1
corralled                1
correct                  2
corrected                1
correctly                1
correlated               1
corresponding            1
cortex                   1
cosmic                   2
cost                     6
costs                    2
could                    43
council                  1
counsel                  1
counterparts             1
countrys                 1
county                   1
couples                  4
courageous               1
course                   5
court                    7
court-appointed          1
courtroom                2
courts                   1
cover                    1
coverage                 2
covering                 3
cowles                   1
cpu                      1
craft                    4
crater                   5
craters                  2
crazy                    1
create                   8
created                  3
creating                 3
creativity               1
creek                    2
creeks                   1
crew                     3
crime                    1
criminal                 2
critical                 4
criticism                1
criticized               1
critics                  2
crn                      1
crowd-source             1
crucial                  2
ct                       1
culmination              1
cultivated               1
cupertino                2
curb                     1
current                  5
currently                4
cushing                  2
customers                2
customized               2
cut                      3
cutting                  3
cycle                    2
cycles                   2
d.c                      1
daily                    1
damage                   7
dams                     1
dangerfield              2
dark                     6
data                     24
date                     5
dating                   1
dave                     1
david                    6
davis                    4
davy                     1
dawned                   1
day                      4
days                     5
ddos                     3
deaconess                1
deal                     8
dean                     1
death                    2
debated                  1
debut                    1
decade                   1
decades                  4
decembers                1
decide                   1
decided                  1
decidedly                1
decipher                 1
decision                 2
declan                   1
declaration              1
declined                 2
decompose                1
dedicated                1
deduced                  1
deep                     4
deep-dive                1
defects                  3
defendants               8
defense                  1
defined                  1
defining                 1
definitively             1
deform                   1
deformation              2
degradation              2
degrees                  3
degroote                 1
delaware                 1
deleted                  1
deleterious              1
deleting                 1
delicate                 1
deliver                  3
delivered                1
delivers                 1
delivery                 3
dell                     2
delta                    3
demand                   5
demise                   1
demo                     1
democratic               1
demonstrated             1
denial-of-service        1
denmark                  1
dennis                   1
department               24
departments              1
depend                   1
depict                   1
deployments              3
depth                    1
depths                   3
depths:                  1
deputy                   4
derek                    1
derived                  1
described                1
describing               3
design                   8
designed                 7
designers                2
desirable                1
desired                  1
desktop                  17
desktops                 1
despite                  2
destination              1
destinations             1
destined                 1
destroys                 1
detail                   2
detailed                 1
details                  5
detained                 1
detect                   3
detectable               1
detected                 2
detection                3
detectors                1
determined               1
determining              1
detonation               1
deutsche                 1
develop                  3
developed                10
developing               3
development              13
deviate                  2
deviation                1
device                   9
devices                  10
devoured                 1
dhvi                     2
diagnosing               1
dial                     1
did                      12
didnt                    11
died                     1
diederichs               3
diego                    2
difference               1
differences              3
different                10
differentiating          1
differently              1
difficult                3
difficult-to-induce      1
digital                  2
dignan                   1
dimiter                  1
dimitrov                 2
dimming                  1
dioxide                  1
diplomatic               1
directed                 1
direction                1
directional              4
directions               1
directly                 1
director                 8
disappointed             1
disasters                1
discontinuous            1
discovered               11
discoveries              2
discovering              2
discovers                1
discovery                5
discriminate             2
discussed                1
discussion               2
disease                  2
disease-related          1
diseases                 3
disillusionment          1
disk                     3
dismissed                2
disorder                 2
disorders                3
dispatch:                1
disrupt                  1
disrupted                2
disruption               1
distance                 3
distant                  3
distracted               1
distributed              1
district                 3
disturbance              1
diverse                  1
diversions               1
diversity                1
diverted                 1
divest                   3
division                 2
divulge                  1
dkfz                     1
dna                      14
dna-damaging             1
dnas                     1
do                       24
doctors                  1
doe                      4
does                     8
doesnt                   2
doing                    2
doj                      1
dollar                   1
dollars                  1
dominant                 1
dominated                1
donations                1
done                     8
dont                     9
door                     2
doors                    1
dopamine                 1
dormant                  1
dose                     6
doubt                    1
down                     10
download                 1
downloaded               1
downloads                1
downward                 1
dr                       13
draco                    1
dramatically             3
draw                     1
drawn                    1
dream                    2
dreamforce               1
dreams                   1
drifted                  1
drive                    2
driven                   2
driving                  6
drop                     2
droplet                  4
droplets                 2
drops                    3
drove                    1
drug                     2
drugs                    1
drummond                 2
dual                     2
dual-mode                1
dubbed                   1
duckett                  1
due                      1
dug                      1
duke                     6
dulles                   1
dumping                  1
during                   12
dust                     1
dwarf                    5
dwarfs                   17
dynamic                  2
dynamics                 1
dynamo                   1
e-ink                    1
e-ink:                   1
each                     5
ear                      2
earlier                  7
earliest                 1
early                    15
early-stage              1
earning                  1
earnings                 1
ears                     1
earth                    23
earth-bound              1
earth-directed           1
earth-observing          2
earthquake               1
earths                   2
easier                   1
easily                   2
east                     1
eastern                  1
easy                     1
easy-on-the-eye          1
eating                   1
ebooks                   1
echoed                   1
echolocate               1
echolocation             4
ecology                  2
economically             1
ecosystem                1
edge                     2
edition                  1
editor                   1
edo                      1
edt                      1
education                2
edward                   2
effect                   6
effective                1
effects                  4
efficient                1
effort                   1
efforts                  3
egg                      16
eggs                     6
eight                    4
eighth                   1
either                   3
ejected                  4
ejections                1
electronically           1
electrons                1
electrostatic            2
elements                 1
elevation                1
eleven                   1
ellen                    1
else                     1
embroiled                1
embryos                  1
emerge                   1
emerged                  1
emergency                1
emerging                 4
emission                 3
emissions                1
emit                     1
emitted                  1
emitting                 1
emphasized               2
employed                 1
employee                 2
empty                    1
enable                   3
enabled                  2
enabling                 2
encoded                  1
encourage                1
encourages               1
encouraging              2
end                      5
endear                   1
endeavour                8
endeavours               1
ended                    2
ends                     2
energetic                2
energies                 2
energy                   10
enforcement              2
engage                   2
engine                   1
engineer                 2
engineered               3
engineering              1
engineers                5
engines                  2
enhance                  2
enhanced                 3
enjoyed                  1
enjoys                   1
enlist                   2
enormous                 1
enormously               1
enough                   10
ensure                   2
entered                  1
enterprise               2
enterprises              1
entire                   4
entirely                 1
entirety                 1
entrepreneurs            1
envelope                 15
envelope-based           1
envelope-induced         1
envelopes                3
environment              5
environmental            4
environments             3
envisioned               1
enzymes                  1
episodically             1
epochs                   1
equal-sized              1
equally                  1
equipment                3
equivalent               1
era                      2
eric                     2
ericsson                 1
ermine                   1
escape                   1
escobar                  1
especially               2
essential                2
essentially              1
estimate                 2
estimated                1
estimates                2
etc                      1
european                 1
evaluate                 4
evaluated                1
even                     18
event                    3
events                   2
eventually               4
ever                     2
every                    3
everybody                1
everyday                 1
everyone                 1
evidence                 5
evident                  1
evla                     2
evolution                2
evolution:               1
evolutionary             2
evolved                  3
evolving                 1
exactly                  4
examine                  3
examined                 2
examines                 1
examining                1
example                  6
excavated                1
excess                   1
exchange                 1
excited                  4
exciting                 3
exclaimed                1
exclusive                1
executive                2
exist                    1
existed                  3
existence                1
existing                 2
exists                   1
expand                   1
expanded                 1
expanding                1
expansion                1
expect                   3
expectations             2
expected                 4
expendable               1
expenses                 1
experience               4
experienced              2
experiment               12
experimental             1
experimenting            1
experiments              4
expert                   1
experts                  1
explain                  1
explained                5
explaining               1
explains                 2
explanation              1
explicit                 1
exploration              3
explore                  3
explorer                 1
explosion                1
explosive                1
exposed                  1
exposures                1
express                  1
expressed                2
expressing               1
expression               2
extended                 2
extensively              1
external                 2
extinct                  1
extra                    2
extracted                1
extraordinary            2
extreme                  2
eye                      7
eyes                     1
fabbiano                 1
face                     2
facebooks                1
facets                   1
facilitate               1
facilities               1
facility                 2
facing                   1
fact                     7
factor                   1
factors                  1
fade                     1
fahlke                   14
fahrenheit               1
fail                     1
failed                   2
faint                    2
fair                     2
fall                     5
falling                  1
falls                    2
familiar                 3
family                   3
fans                     1
fantastic                1
far                      12
fast                     1
fast-forward             1
fast-moving              1
faster                   4
fat                      2
favorable                2
favored                  1
fcc                      8
fear                     1
feature                  1
features                 8
feb                      1
february                 1
fed                      1
federal                  4
feeble                   1
feed                     1
feeds                    1
feel                     1
feeling                  2
fees                     1
fell                     1
fellow                   2
felony                   1
felt                     2
fertilisation            1
fertilising              1
fertility                3
few                      8
fewer                    2
field                    1
fields                   1
fieldwork                2
fight                    3
fight-or-flight          1
figure                   2
figured                  2
file                     1
filed                    8
files                    2
fill                     1
filled                   1
filter                   1
filters                  1
final                    2
finalists                1
finally                  5
find                     15
finding                  6
findings                 9
finds                    4
finger                   1
finish                   2
fire                     1
fires                    1
firm                     2
firms                    1
first                    45
first-generation         1
first-person             1
first-time               1
fiscal                   1
fish                     5
fit                      1
five                     6
fixation                 1
fixed                    5
flare                    2
flares                   6
flat-topped              1
flexibility              1
flexible                 1
flight                   9
flights                  4
float                    1
floating                 1
flood                    1
floor                    1
florence                 1
florida                  3
flourish                 1
flow                     2
flowing                  1
flu-like                 1
fluctuations             2
flutter                  1
fly                      1
fmedsci                  1
focus                    1
focused                  2
focuses                  1
follow                   2
followed                 3
following                3
food                     3
foolish                  1
footstool                1
for                      200
force                    6
forecasted               1
forecasting              5
forecasts                3
foreign                  3
form                     9
formation                5
formed                   3
former                   4
forming                  1
forrester                1
forthcoming              1
fortunately              1
forty-five               1
forward                  4
fossil                   2
fossilization            1
fossils                  1
foster                   1
found                    13
founded                  1
four                     7
four-million-solar-mass  1
fourth                   1
fragment                 1
fragments                1
framework                1
francisco                10
frederic                 1
free                     3
frequent                 1
frequently               1
fresh                    1
friends                  1
from                     94
front                    2
frozen                   1
frs                      1
frustrated               2
fueled                   1
fuels                    2
full                     3
fully                    4
fun                      1
function                 3
functional               1
functioning              1
functions                3
funding                  3
funnels                  1
further                  3
fuse                     1
future                   11
g                        1
gain                     3
galaxies                 7
galaxy                   20
galaxys                  1
game                     9
games                    7
gaming                   2
gamma-ray                2
gap                      4
garage                   1
garan                    1
garden                   3
gartner                  1
gartners                 1
gary                     1
gas                      10
gas-giant                1
gather                   1
gave                     2
gawker                   1
gear                     1
genachowski              1
gene                     8
general                  3
generally                2
generate                 3
generated                1
generation               9
generous                 1
genes                    14
genetically              1
geneticist               1
genetics                 1
genome                   4
genomes                  1
genomic                  1
genomics                 2
geography                1
geological               1
geology                  1
george                   1
german                   3
germany                  1
germline                 1
gerry                    1
get                      15
getting                  3
gingerich                2
girls                    1
give                     5
given                    5
gives                    1
gizmodo                  4
glacier                  21
glaciers                 6
global                   1
globe                    1
glow                     1
glowing                  3
glucose                  1
go                       2
goal                     3
goals                    1
goddard                  2
going                    8
golding                  1
gone                     1
good                     8
google                   6
google+                  1
googles                  4
got                      1
government               3
governmental             1
gps                      2
grade                    1
grant                    1
granted                  1
gravity                  3
gray                     1
great                    1
greater                  4
greatly                  1
greenbelt                2
greenhouse               1
greenland                9
greenlands               1
greg                     1
grewal                   3
ground                   6
ground-based             2
group                    8
groups                   4
grow                     1
growing                  2
growth                   3
guaranteed               1
guardian                 1
guess                    1
guide                    2
guido                    1
guillermo                1
guilty                   4
gulf                     1
gyneacology              1
gyro                     2
habits                   1
hacking                  1
had                      26
haefer                   1
half                     7
halting                  1
hand                     2
hand-off                 1
handcrafting             1
handed                   1
handful                  1
handheld                 2
handled                  5
handling                 1
hands-on                 2
handset                  1
handsets                 4
hanes                    1
hang                     1
hanna                    3
happen                   2
happened                 5
happens                  2
happy                    2
hard                     2
hardware                 3
harm                     1
harming                  1
harmless                 1
haro                     1
harrington               1
hartigan                 4
harvard                  3
harvard-smithsonian      2
has                      67
hasnt                    2
have                     99
havent                   1
having                   4
havoc                    1
hawaii                   2
haynes                   4
he                       12
head                     4
head-on                  1
heading                  1
headline                 1
headline:                1
headquarters             4
health                   3
hear                     2
heard                    4
hearing                  3
hearing:                 1
heart                    1
heat                     1
heated                   2
heating                  1
heavily                  1
hebrew                   2
hed                      1
heels                    2
heidelberg               2
heights                  2
held                     2
helioseismologists       1
helioseismology          2
heliospheric             1
help                     12
helped                   2
helpful                  1
helps                    2
hendrik                  1
her                      3
herbig                   1
herbig-haro              2
here                     9
hereditary               1
herere                   1
heres                    1
hes                      2
hesitation               1
hewlett-packard          1
hh                       7
hidden                   3
hides                    1
high                     5
high-energy              2
high-frequency           1
high-resolution          1
higher                   6
highest                  2
highlighted              1
highlighting             2
highlights               1
highly                   4
hindered                 1
his                      15
history                  7
hit                      2
hiv                      17
hiv-1                    1
hiv-aids                 1
hiv-protective           1
hiv:                     1
hivs                     1
hogan                    1
hoisted                  2
hold                     1
holder                   1
holding                  2
holds                    2
hole                     18
holes                    21
home                     4
hong                     3
honor                    1
honor:                   1
hope                     6
hoped                    1
hopes                    2
horizon                  1
hormone                  1
hormones                 3
horse                    1
hose                     1
hospital                 2
hospital-acquired        1
hospitals                1
host                     4
hostile                  1
hosting                  1
hotter                   1
hours                    7
house                    4
houses                   1
houston                  1
houston-based            1
how                      40
however                  9
hp                       2
hspa                     1
htc                      1
hua-xin                  1
hubble                   6
hubbles                  1
hubs                     1
huge                     3
human                    21
humans                   5
hundreds                 3
hunted                   1
hurricane                1
hurt                     1
huvell                   1
hydroelectric            1
hydrogen                 2
hydropower               5
hype                     3
hypothesis               4
i                        10
ice                      3
idc                      1
idea                     3
ideas                    2
identical                1
identification           1
identified               6
identifies               1
identify                 4
identities               1
if                       31
ii                       3
illegally                1
illustrate               1
ilonidis                 6
ilonidiss                1
im                       1
imac                     1
image                    3
imager                   2
images                   2
imagine                  3
imaging                  1
immature                 11
immediate                1
immediately              2
immune                   6
immunity                 2
immunizations            1
immunogen                1
immunogenicity           2
immunogens               2
immunology               3
impact                   5
impairment               1
imperial                 4
implications             1
implying                 1
importance               1
important                20
impossible               1
impressive               1
imprisoned               1
improve                  5
improved                 1
improvement              3
improvements             3
improving                2
in                       399
inactivate               1
inc                      2
include                  6
included                 3
includes                 1
including                18
incoming                 1
incorporate              1
increase                 2
incredibly               2
indeed                   1
independent              1
indicate                 3
indicated                2
indicates                2
indicating               1
indication               2
indications              1
indigent                 1
individual               1
individually             1
inducing                 2
industries               1
industry                 6
ineffective              1
infalling                1
infect                   1
infections               1
infectious               2
infertility              3
inflated                 1
influence                2
informally               1
information              6
informed                 1
infrared                 8
infrastructure           3
infrastructures          1
infringement             2
infusion                 2
initial                  3
initially                2
initiated                1
initiating               1
inject                   1
injected                 1
inner                    2
innermost                1
innovation               5
innovative               1
input                    1
insert                   1
inside                   5
insight                  1
insights                 2
insisting                1
inspired                 1
installations            1
instance                 1
instances                1
instead                  5
institute                14
institutes               1
institutions             1
instrument               4
instrumentation          1
instruments              4
insufficient             1
integrate                1
integrated               1
intel                    1
intellectual             1
intelligence             1
intended                 2
intenders                1
intending                1
intense                  3
intensive                1
intentional              1
interact                 2
interaction              1
interactions             3
interest                 5
interested               5
interesting              1
interestingly            1
interfere                1
interference             1
interglacial             1
internal                 2
international            7
internationally          1
internet                 5
interpret                2
interstellar             1
interview                1
into                     29
intravenous              4
intravenously-delivered  1
introduced               1
intrusion                1
invented                 1
invention                1
invested                 1
investigate              1
investigating            2
investigation            7
investigations           1
investigator             5
investigators            3
investment               1
involved                 7
involves                 2
involving                3
ion                      1
ios                      8
ipad                     4
iphone                   12
irregularity             1
is                       208
islands                  1
isnt                     7
isolate                  1
isolated                 1
isolation                1
israel                   1
issue                    6
issued                   3
it                       124
italy                    2
item                     1
ithaca                   1
its                      62
itself                   6
itunes                   1
j                        1
j1644+57                 4
jan                      1
japan                    2
japan-led                1
jason                    1
jaw                      1
jaws                     2
jay                      1
jennerex                 2
jet                      9
jets                     18
jgi                      3
jgis                     1
jim                      2
job                      2
jobs                     5
john                     4
joint                    3
jon                      1
jose                     2
journal                  11
journalists              1
jpss                     3
judge                    4
julia                    2
julius                   1
july                     7
jumbo                    1
jump                     1
jumps                    1
june                     2
junfeng                  1
junior                   1
junwei                   1
jupiter                  1
just                     23
justice                  15
justify                  1
jx-594                   4
kan                      1
kansas                   1
kea                      2
keck                     1
keen                     1
keep                     6
keeping                  1
ken                      1
kennedy                  2
kennedys                 1
kept                     2
kerosene                 2
key                      12
kibo                     1
kidding                  1
kids                     7
killer                   1
kilometers               2
kind                     11
kindle                   5
kindle/tablet            1
kindles                  2
kinds                    2
kirchman                 1
kirkpatrick              2
kirn                     1
kish                     2
kitchen                  1
km                       1
knife                    1
knock                    1
knot                     1
knots                    1
know                     7
knowing                  1
knowingly                1
knowledge                4
known                    12
knows                    1
knudsen                  1
kong                     3
kosovichev               1
ksc                      2
kwong                    1
lab                      3
laboratory               13
laboratorys              1
labs                     1
lack                     3
land                     2
landing                  4
language                 1
languish                 1
laptops                  1
large                    7
largely                  2
larger                   1
largest                  2
larry                    1
las                      2
last                     11
lasted                   1
lasting                  1
lasts                    2
late                     4
lately                   1
later                    5
latest                   2
launch                   23
launched                 4
launching                1
lavery                   1
law                      4
lawsuit                  5
lawsuits                 4
layers                   1
lazy                     2
lead                     8
leader                   2
leaders                  1
leading                  3
leads                    5
leapfrog                 1
learn                    1
learned                  3
learning                 1
least                    11
leave                    2
leaves                   1
leaving                  1
led                      7
lefkowitz                1
left                     5
leftkowitz               1
leftward                 1
legal                    3
leisure                  1
lenovo                   1
less                     13
less-acidic              1
lets                     1
letter                   1
letvin                   2
level                    1
leveling                 1
levels                   3
levi                     3
lfi                      1
lg                       1
li                       1
liao                     2
license                  2
licenses                 2
licensing                3
life                     11
lifeblood                1
lifecycle                1
lifetime                 1
light                    13
light-years              4
lights                   1
like                     28
likely                   15
liking                   1
limb                     1
limited                  4
limits                   1
line                     2
lineages                 1
lined                    1
lines                    1
link                     1
linked                   3
linkedin                 1
links                    1
linux                    1
liquid                   1
lisa                     1
list                     2
literally                1
litigation               5
litigations              1
little                   5
live                     3
lived                    1
lives                    1
living                   3
llc                      1
loaded                   1
loading                  2
local                    3
locality                 1
located                  4
location                 2
locations                4
lock                     1
logic                    2
loic                     2
loic-users               1
london                   3
long                     8
